Designator,Mid X,Mid Y,Rotation,Layer
D1,70.95625,-54.2875,180.0,bottom
D10,128.10625,-75.71875,180.0,bottom
D11,149.5375,-75.71875,180.0,bottom
D12,49.525,-94.76875,180.0,bottom
D13,70.95625,-94.76875,180.0,bottom
D14,90.00625,-94.76875,180.0,bottom
D15,109.05625,-94.76875,180.0,bottom
D16,128.10625,-94.76875,180.0,bottom
D17,149.5375,-94.76875,180.0,bottom
D18,49.525,-113.81875,180.0,bottom
D19,70.95625,-113.81875,180.0,bottom
D2,90.00625,-54.2875,180.0,bottom
D20,90.00625,-113.81875,180.0,bottom
D21,109.05625,-113.81875,180.0,bottom
D22,128.10625,-113.81875,180.0,bottom
D23,149.5375,-113.81875,180.0,bottom
D24,49.525,-132.86875,180.0,bottom
D25,70.95625,-132.86875,180.0,bottom
D26,90.00625,-132.86875,180.0,bottom
D27,109.05625,-132.86875,180.0,bottom
D28,128.10625,-132.86875,180.0,bottom
D29,149.5375,-132.86875,180.0,bottom
D3,109.05625,-54.2875,180.0,bottom
D30,56.66875,-154.3,180.0,bottom
D31,90.00625,-154.3,180.0,bottom
D32,132.86875,-154.3,180.0,bottom
D4,128.10625,-54.2875,180.0,bottom
D5,149.5375,-54.2875,180.0,bottom
D6,49.525,-75.71875,180.0,bottom
D7,70.95625,-75.71875,180.0,bottom
D8,90.00625,-75.71875,180.0,bottom
D9,109.05625,-75.71875,180.0,bottom
SW1,70.95625,-49.525,0.0,top
SW10,128.10625,-70.95625,0.0,top
SW11,149.5375,-70.95625,0.0,top
SW12,49.525,-90.00625,0.0,top
SW13,70.95625,-90.00625,0.0,top
SW14,90.00625,-90.00625,0.0,top
SW15,109.05625,-90.00625,0.0,top
SW16,128.10625,-90.00625,0.0,top
SW17,149.5375,-90.00625,0.0,top
SW18,49.525,-109.05625,0.0,top
SW19,70.95625,-109.05625,0.0,top
SW2,90.00625,-49.525,0.0,top
SW20,90.00625,-109.05625,0.0,top
SW21,109.05625,-109.05625,0.0,top
SW22,128.10625,-109.05625,0.0,top
SW23,149.5375,-109.05625,0.0,top
SW24,49.525,-128.10625,0.0,top
SW25,70.95625,-128.10625,0.0,top
SW26,90.00625,-128.10625,0.0,top
SW27,109.05625,-128.10625,0.0,top
SW28,128.10625,-128.10625,0.0,top
SW29,149.5375,-128.10625,0.0,top
SW3,109.05625,-49.525,0.0,top
SW30,56.66875,-149.5375,0.0,top
SW31,90.00625,-149.5375,0.0,top
SW32,132.86875,-149.5375,0.0,top
SW4,128.10625,-49.525,0.0,top
SW5,149.5375,-49.525,0.0,top
SW6,49.525,-70.95625,0.0,top
SW7,70.95625,-70.95625,0.0,top
SW8,90.00625,-70.95625,0.0,top
SW9,109.05625,-70.95625,0.0,top
